state_code,state_name,sch_num,sch_name,cust_code,cust_name,cust_town,status,type,category,accd_year,lga
011,ENUGU,0110631,"ST. THOMAS SECONDARY SCHOOL, AKU",11011,"SUB - TREASURY, OGBEDE",OGBEDE,,,,,
011,ENUGU,0110632,"ADORABLE BRITISH COLLEGE, EMENE ENUGU",11004,"ST PATRICK'S COLLEGE, EMENE",EMENE,,,,,
011,ENUGU,0110633,"SHALOM SCIENCE AND TECHNOLOGY ACADEMY, EMENE ENUGU",11004,"ST PATRICK'S COLLEGE, EMENE",EMENE,,,,,
011,ENUGU,0110634,"ST PETER'S COLLEGE, UMUONU ENUGU EZIKE",11016,"D'MCGLADE SEC. SCH., ENUGU - EZIKE",ENUGU - EZIKE,,,,,
011,ENUGU,0110635,"ABC STANDARD COLLEGE, EMENE ENUGU",11004,"ST PATRICK'S COLLEGE, EMENE",EMENE,,,,,
011,ENUGU,0110636,"HOLY CROSS SECONDARY SCHOOL, AKIYI UMULOKPA",11018,"SUB -TREASURY, UMULOKPA",UMULOKPA,,,,,
011,ENUGU,0110639,"ZION COMPREHENSIVE SECONDARY SCHOOL, UMUOBIA ISI-AKPU, NSUKKA",11008,"SUB-TREASURY, NSUKKA",NSUKKA,,,,,
011,ENUGU,0110640,"COMPREHENSIVE SECONDARY SCHOOL, UMUODE",11004,"ST PATRICK'S COLLEGE, EMENE",EMENE,,,,,
011,ENUGU,0110641,"COMPREHENSIVE SALVATION COLLEGE, IHEAKPU OBOLLO AFOR",11015,"C.S.S, OBOLLO AFOR",OBOLLO AFOR,,,,,
011,ENUGU,0110642,"OKUNERERE COMPREHENSIVE INTERNATIONAL ACADEMY, NSUKKA",11013,"ST. TERESA'S COLLEGE, NSUKKA",NSUKKA,,,,,
011,ENUGU,0110643,"COMMUNITY SECONDARY SCHOOL, IKEM-NKWO",11014,"SUB-TREASURY, IKEM",IKEM,,,,,
011,ENUGU,0110644,"HILLRANGE SECONDARY SCHOOL, ENUGU",11003,"NECO OFFICE, ENUGU",ENUGU,,,,,
011,ENUGU,0110645,"KENJESSY SECONDARY SCHOOL, IGOGORO OGRUTE",11016,"D'MCGLADE SEC. SCH., ENUGU - EZIKE",ENUGU - EZIKE,,,,,
