state_code,state_name,sch_num,sch_name,cust_code,cust_name,cust_town,status,type,category,accd_year,lga
002,Adamawa,0025734,"FUTURE STARS COLLEGE,WAURU JABBE, YOLA",02009,"UNION BANK PLC, JIMETA",JIMETA,,,,,
002,Adamawa,0025735,"ADROIT INTERNATIONAL ACADEMY, WURO HAUSA, YOLA",02002,"LOCAL EDUCATION COUNCIL, YOLA TOWN",YOLA,,,,,
002,Adamawa,0025835,"NOBLE INTELLECT ACADEMY, KOFARE, JIMETA",02009,"UNION BANK PLC, JIMETA",JIMETA,,,,,
002,Adamawa,0025836,"EXCELLENT WISDOM ACADEMY, NGBALANG",02004,"UNITY BANK PLC, NUMAN",NUMAN,,,,,
002,Adamawa,0026095,"OUR LADY OF CONSOLATION SECONDERY SCHOOL, BAZZA",02007,"POLICE STATION, MICHIKA",MICHIKA,,,,,
002,Adamawa,0026416,"GREATER FUTURE ACADEMY, SANGERE GOMBI",02008,"FIRST BANK PLC, GOMBI",GOMBI,,,,,
002,Adamawa,0026514,"FIRST BAPTIST JUNIOR SECONDARY SCHOOL, DIRBISHI",02003,"EMIR'S PALACE, MUBI",MUBI,,,,,
002,Adamawa,0026515,"HOSSANA GROUP OF SCHOOLS, SANGERE FUTY",02010,"COMMUNITY BANK, GIREI",GIREI,,,,,
003,Akwa Ibom,0030505,"FULGA INTERNATIONAL COLLEGE, MBIABAM",03001,"NECO STATE OFFICE, UYO",UYO,,,,,
003,Akwa Ibom,0030876,"TOUCHSTONE HIGH SCHOOL, IKOT OKUDOMO, EKET",03003,"ZONAL EDUCATION OFFICE - LIVERPOOL ROAD, EKET",EKET,,,,,
003,Akwa Ibom,0030921,"ALFRED'S SCIENCE & COMPUTER SCHOOL, IKA",03008,"SUB TREASURY, IKA",IKA,,,,,
003,Akwa Ibom,0031113,"HOPE POWER COLLEGE, OKON EKET",03013,"SUB-TREASURY, IKOT EDIBON",IKOT EDBON,,,,,
003,Akwa Ibom,0031154,"ROYAL PEARLS COLLEGE, UYO",03001,"NECO STATE OFFICE, UYO",UYO,,,,,
003,Akwa Ibom,0031155,"GRACELAND HIGH SCHOOL, EWET HOUSING  ESTATE, UYO",03001,"NECO STATE OFFICE, UYO",UYO,,,,,
003,Akwa Ibom,0031156,DE TRIO  SECONDARY  SCHOOL,03002,"SUB-TREASURY, IKOT-EKPENE",IKOT-EKPENE,,,,,
003,Akwa Ibom,0031395,"ALL WEATHER SCHOOL, IDUA EKET",03003,"ZONAL EDUCATION OFFICE - LIVERPOOL ROAD, EKET",EKET,,,,,
003,Akwa Ibom,0031753,"NEW ERA HIGH SCHOOL, EKET",03003,"ZONAL EDUCATION OFFICE - LIVERPOOL ROAD, EKET",EKET,,,,,
003,Akwa Ibom,0031815,HERITAGE COLL.UYO,03001,"NECO STATE OFFICE, UYO",UYO,,,,,
003,Akwa Ibom,0031860,"HERITAGE COLLEGE, NSIKAK EDUOK AVENUE, UYO",03001,"NECO STATE OFFICE, UYO",UYO,,,,,
003,Akwa Ibom,0031861,"SCRIPTURE UNION SECONDARY SCHOOL, UYO",03001,"NECO STATE OFFICE, UYO",UYO,,,,,
003,Akwa Ibom,0031863,"AUNTY CHINNY'S INTERNATIONAL HIGH SCHOOL, EKET",03003,"ZONAL EDUCATION OFFICE - LIVERPOOL ROAD, EKET",EKET,,,,,
003,Akwa Ibom,0032946,"REVELATION SECONDARY SCHOOL, EKET",03003,"ZONAL EDUCATION OFFICE - LIVERPOOL ROAD, EKET",EKET,,,,,
003,Akwa Ibom,0032947,"BLESSED FOUNDATION COLLEGE, AWA IMAN",03003,"ZONAL EDUCATION OFFICE - LIVERPOOL ROAD, EKET",EKET,,,,,
003,Akwa Ibom,0033158,"ROYAL COMPREHENSIVE COLLEGE, ORON",03005,"SUB -TREASURY, ORON",ORON,,,,,
018,Kogi,0182512,UBE/JSS IFFE AND IKOYI,,,,,,,,
003,Akwa Ibom,0034107,"FELLOWSHIP HIGH SCHOOL, UYO",03012,"AKS COUNCIL FOR ARTS & CULTURE, ABAK ROAD, UYO","ABAK ROAD, UYO",,,,,
003,Akwa Ibom,0034108,"DIVINE ACADEMY, EKET",03003,"ZONAL EDUCATION OFFICE - LIVERPOOL ROAD, EKET",EKET,,,,,
003,Akwa Ibom,0034286,"ROYAL NEFSEA INTERNATIONAL SCHOOLS, IKOT NTUEN NSIT",03012,"AKS COUNCIL FOR ARTS & CULTURE, ABAK ROAD, UYO","ABAK ROAD, UYO",,,,,
